===============================================================================
Id,oracle,len,datetime,open,high,low,close,volume,openinterest,adjclose,TestStrategy,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
1,oracle,1,2000-01-03 23:59:59.999989,27.71,27.84,24.82,26.27,110304525.0,0.0,26.267759,TestStrategy,1,730122.9999999999,Broker,1,10000.0,10000.0,BuySell,1,,,Trades - Net Profit/Loss,1,,
2,oracle,2,2000-01-04 23:59:59.999989,25.68,26.38,23.35,23.95,131339025.0,0.0,23.946749,TestStrategy,2,730123.9999999999,Broker,2,10000.0,10000.0,BuySell,2,,,Trades - Net Profit/Loss,2,,
3,oracle,3,2000-01-05 23:59:59.999989,22.6,23.65,21.35,22.68,186684472.0,0.0,22.681999,TestStrategy,3,730124.9999999999,Broker,3,10000.0,10000.0,BuySell,3,,,Trades - Net Profit/Loss,3,,
4,oracle,4,2000-01-06 23:59:59.999989,22.27,23.35,21.06,21.35,123531456.0,0.0,21.347761,TestStrategy,4,730125.9999999999,Broker,4,9977.73,9999.08,BuySell,4,20.7441,,Trades - Net Profit/Loss,4,,
5,oracle,5,2000-01-07 23:59:59.999989,21.13,23.02,20.81,22.99,103155283.0,0.0,22.987759,TestStrategy,5,730126.9999999999,Broker,5,9977.73,10000.72,BuySell,5,,,Trades - Net Profit/Loss,5,,
6,oracle,6,2000-01-10 23:59:59.999989,24.02,25.8,23.46,25.74,102888151.0,0.0,25.739622,TestStrategy,6,730129.9999999999,Broker,6,9977.73,10003.47,BuySell,6,,,Trades - Net Profit/Loss,6,,
7,oracle,7,2000-01-11 23:59:59.999989,25.04,25.52,24.35,24.99,97342517.0,0.0,24.989111,TestStrategy,7,730130.9999999999,Broker,7,9977.73,10002.72,BuySell,7,,,Trades - Net Profit/Loss,7,,
8,oracle,8,2000-01-12 23:59:59.999989,24.96,24.96,23.06,23.49,93810592.0,0.0,23.4881,TestStrategy,8,730131.9999999999,Broker,8,9977.73,10001.22,BuySell,8,,,Trades - Net Profit/Loss,8,,
9,oracle,9,2000-01-13 23:59:59.999989,24.13,24.43,23.02,23.36,62709179.0,0.0,23.363016,TestStrategy,9,730132.9999999999,Broker,9,9977.73,10001.09,BuySell,9,,,Trades - Net Profit/Loss,9,,
10,oracle,10,2000-01-14 23:59:59.999989,24.24,24.77,23.29,23.75,64169355.0,0.0,23.752163,TestStrategy,10,730133.9999999999,Broker,10,10001.97,10001.97,BuySell,10,,25.14155,Trades - Net Profit/Loss,10,1.9699999999999989,
